Impulse,Response,Step,Value,Lower_CI,Upper_CI
goal13,goal1,9,-3.594628418172947e-09,-1.6162398941179075e-08,8.97314210483318e-09
goal13,goal1,10,4.6292162728268337e-10,-1.267644537882851e-09,2.193487792448218e-09
goal16,goal1,0,0.0,0.0,0.0
goal16,goal1,1,0.03683873435066823,-0.03073876419776085,0.10441623289909731
goal16,goal1,2,0.0018363347229358614,-0.005308412051204364,0.008981081497076087
goal16,goal1,3,0.00018217716003463932,-0.0006848602999034339,0.0010492146199727126
goal16,goal1,4,-6.652626847635292e-06,-0.00012221806057189052,0.00010891280687661995
goal16,goal1,5,1.7170749374240394e-06,-1.3178970131038699e-05,1.6613120005886777e-05
goal16,goal1,6,-9.015792856641537e-08,-2.0602606197099114e-06,1.8799447625770805e-06
goal16,goal1,7,5.3093094590672e-09,-2.564996011266301e-07,2.671182200447645e-07
goal16,goal1,8,6.058717439798448e-10,-3.441750494550563e-08,3.562924843346531e-08
goal16,goal1,9,-1.7832892865363196e-10,-4.859746211666657e-09,4.503088354359392e-09
goal16,goal1,10,3.423764850720498e-11,-5.898905623604337e-10,6.583658593748437e-10
goal1,goal3,0,0.07672973467731126,0.07672973467731126,0.07672973467731126
goal1,goal3,1,0.012364756964717305,-8.841309411926693e-05,0.024817927023553878
goal1,goal3,2,-0.0010971611278612365,-0.0027426594197869857,0.0005483371640645127
goal1,goal3,3,0.0002160811409309174,-1.1905282607651001e-05,0.00044406756446948583
goal1,goal3,4,-2.773899482668478e-05,-5.8688387169145896e-05,3.2103975157763364e-06
goal1,goal3,5,3.743768053574304e-06,-5.336299670206941e-07,8.021166074169302e-06
goal1,goal3,6,-4.5586001137730304e-07,-1.0504138888668043e-06,1.3869386611219822e-07
goal1,goal3,7,5.536871372767118e-08,-2.764711109371646e-08,1.3838453854905882e-07
goal1,goal3,8,-6.6049623447296235e-09,-1.8189251624199922e-08,4.979326934740676e-09
goal1,goal3,9,7.952981067532559e-10,-8.174597756619495e-10,2.4080559891684616e-09
goal1,goal3,10,-9.652086526514046e-11,-3.2022485023044595e-10,1.27183119700165e-10
goal3,goal3,0,0.9943540260137115,0.9943540260137115,0.9943540260137115
goal3,goal3,1,-0.08061021015332845,-0.11156988921757949,-0.04965053108907741
goal3,goal3,2,0.010320357951872153,0.0043312757480610965,0.01630944015568321
goal3,goal3,3,-0.0010778132399911365,-0.0021067471549031315,-4.887932507914149e-05
goal3,goal3,4,0.0001274191050973383,-3.5973903942161265e-05,0.0002908121141368379
goal3,goal3,5,-1.448093434893088e-05,-3.9295964161385234e-05,1.0334095463523474e-05
goal3,goal3,6,1.7115188738578422e-06,-1.9647610278947565e-06,5.38779877561044e-06
goal3,goal3,7,-2.021978224335959e-07,-7.371027060003539e-07,3.3270706113316205e-07
goal3,goal3,8,2.4303369773108373e-08,-5.251333494542213e-08,1.0112007449163889e-07
goal3,goal3,9,-2.945068890496069e-09,-1.3858672560489533e-08,7.968534779497393e-09
goal3,goal3,10,3.6109439427952385e-10,-1.1754479799681505e-09,1.8976367685271983e-09
goal4,goal3,0,0.0,0.0,0.0
goal4,goal3,1,0.032734687275292794,0.02128785046890537,0.04418152408168022
goal4,goal3,2,-0.0034208462492476676,-0.005053107040121113,-0.0017885854583742217
goal4,goal3,3,0.00040226565836975705,0.00016755420111719385,0.0006369771156223203
goal4,goal3,4,-4.04894897733664e-05,-7.207341200324891e-05,-8.905567543483886e-06
goal4,goal3,5,4.535355843473181e-06,2.7406271290564667e-07,8.796648974040716e-06
goal4,goal3,6,-5.177172028825182e-07,-1.0906989199775273e-06,5.5264514212490864e-08
goal4,goal3,7,6.299337594147504e-08,-1.4476595014528671e-08,1.4046334689747875e-07
goal4,goal3,8,-7.807432932587148e-09,-1.831984862689095e-08,2.7049827617166547e-09
goal4,goal3,9,9.824332601714619e-10,-4.478085466708316e-10,2.4126750670137553e-09
goal4,goal3,10,-1.2377913329926518e-10,-3.184924131749205e-10,7.093414657639014e-11
goal7,goal3,0,0.0,0.0,0.0
goal7,goal3,1,0.018064652522435717,-0.00487879868525545,0.04100810373012688
goal7,goal3,2,-0.002842709417143999,-0.0075928220219288,0.0019074031876408011
goal7,goal3,3,0.00047023882930604657,-0.00036970995453121706,0.0013101876131433102
goal7,goal3,4,-6.74118924079783e-05,-0.000201331109378034,6.65073245620774e-05
goal7,goal3,5,9.453775673145217e-06,-1.091828705978584e-05,2.9825838406076274e-05
goal7,goal3,6,-1.2707306785431358e-06,-4.273691890902408e-06,1.732230533816136e-06
goal7,goal3,7,1.677577453461398e-07,-2.661400496714493e-07,6.016555403637288e-07
goal7,goal3,8,-2.179449482775819e-08,-8.359859628711881e-08,4.0009606631602425e-08
goal7,goal3,9,2.8092066884773483e-09,-5.9008705011164435e-09,1.1519283878071139e-08
goal7,goal3,10,-3.6033663600378675e-10,-1.5773894794599977e-09,8.567162074524241e-10
goal8,goal3,0,0.0,0.0,0.0
goal8,goal3,1,-0.003832675778061805,-0.03132173846817806,0.023656386912054447
goal8,goal3,2,-0.001989560992342818,-0.006687363758737887,0.002708241774052251
goal8,goal3,3,0.00024436042757091097,-0.0005441928089038786,0.0010329136640457007
goal8,goal3,4,-4.1195821373026046e-05,-0.0001597901825943216,7.739853984826951e-05
