Group,Impulse,Response,Step,Value
HIC,goal13,goal4,5,1.219036164765353e-05
HIC,goal13,goal4,6,3.6530812600938652e-06
HIC,goal13,goal4,7,1.0529972020810974e-06
HIC,goal13,goal4,8,2.1250101878609445e-07
HIC,goal13,goal4,9,4.658680703886583e-08
HIC,goal13,goal4,10,1.3273110118049792e-08
HIC,goal16,goal4,0,0.0
HIC,goal16,goal4,1,-0.0665645046230388
HIC,goal16,goal4,2,0.012344897280263271
HIC,goal16,goal4,3,-0.0007817813974147475
HIC,goal16,goal4,4,0.00028707147084442244
HIC,goal16,goal4,5,-4.1863698549927886e-05
HIC,goal16,goal4,6,1.3133774844434201e-05
HIC,goal16,goal4,7,-8.125419819205021e-07
HIC,goal16,goal4,8,5.077273438470441e-07
HIC,goal16,goal4,9,-1.6800310538506988e-08
HIC,goal16,goal4,10,2.257382489127264e-08
HIC,goal1,goal7,0,-0.02310815448022088
HIC,goal1,goal7,1,-0.01845305887784736
HIC,goal1,goal7,2,-0.005542660073821387
HIC,goal1,goal7,3,-0.0008222764539799695
HIC,goal1,goal7,4,-0.0003621693017418834
HIC,goal1,goal7,5,-4.1423835967109e-05
HIC,goal1,goal7,6,-2.0687903532015943e-05
HIC,goal1,goal7,7,-2.3428511824510533e-06
HIC,goal1,goal7,8,-1.1500485356574108e-06
HIC,goal1,goal7,9,-1.4116861170619903e-07
HIC,goal1,goal7,10,-6.235589000733682e-08
HIC,goal3,goal7,0,-0.01808143945530376
HIC,goal3,goal7,1,0.03918372282168984
HIC,goal3,goal7,2,0.009146582230393024
HIC,goal3,goal7,3,0.0024282267768212986
HIC,goal3,goal7,4,0.0004989161004459448
HIC,goal3,goal7,5,0.0001235068239219641
HIC,goal3,goal7,6,2.9171639762739735e-05
HIC,goal3,goal7,7,7.13639133274873e-06
HIC,goal3,goal7,8,1.6253257399617075e-06
HIC,goal3,goal7,9,4.050819316359033e-07
HIC,goal3,goal7,10,9.093100209773115e-08
HIC,goal4,goal7,0,-0.017419759582679196
HIC,goal4,goal7,1,-0.0016282566287272007
HIC,goal4,goal7,2,0.010905360878413628
HIC,goal4,goal7,3,-0.0006460394661791545
HIC,goal4,goal7,4,0.00028648210110213866
HIC,goal4,goal7,5,2.297679801008366e-05
HIC,goal4,goal7,6,1.0899944898907634e-05
HIC,goal4,goal7,7,2.025198732724574e-06
HIC,goal4,goal7,8,4.891415536805343e-07
HIC,goal4,goal7,9,1.23193371016944e-07
HIC,goal4,goal7,10,2.8926497850378648e-08
HIC,goal7,goal7,0,0.6048521924269017
